customer_state,order_year,order_month,order_day,payment_value
AP,2017,12,9,216.26
AP,2017,12,15,152.0
AP,2017,12,25,135.61
AP,2018,1,2,1697.79
AP,2018,1,4,204.88
AP,2018,1,5,254.33
AP,2018,1,13,61.05
AP,2018,1,18,259.11
AP,2018,1,20,240.64
AP,2018,1,22,36.14
AP,2018,1,24,34.8
AP,2018,2,1,837.39
AP,2018,2,3,248.92
AP,2018,3,5,200.05
AP,2018,3,13,47.84
AP,2018,3,17,102.59
AP,2018,3,23,90.89
AP,2018,3,25,263.17
AP,2018,4,1,154.99
AP,2018,4,3,466.2
AP,2018,4,10,306.44
AP,2018,4,13,115.17
AP,2018,5,4,227.94
AP,2018,5,7,259.39
AP,2018,5,8,99.9
AP,2018,5,9,146.2
AP,2018,5,14,331.68
AP,2018,5,30,124.82
AP,2018,6,9,90.46
AP,2018,6,26,157.46
AP,2018,7,5,1049.53
AP,2018,7,6,119.45
AP,2018,7,10,144.12
AP,2018,7,11,163.26
AP,2018,7,15,137.27
AP,2018,8,10,134.99
AP,2018,8,16,122.41
BA,2016,10,4,40.79
BA,2016,10,8,204.38
BA,2016,10,10,75.84
BA,2017,1,5,91.92
BA,2017,1,15,374.28
BA,2017,1,16,93.72
BA,2017,1,17,254.19
BA,2017,1,24,669.46
BA,2017,1,25,764.06
BA,2017,1,26,537.5699999999999
BA,2017,1,27,157.0
BA,2017,1,28,835.49
BA,2017,1,29,117.96
BA,2017,1,30,114.1
BA,2017,1,31,315.62
BA,2017,2,1,292.12
BA,2017,2,2,997.6999999999999
BA,2017,2,3,276.82
BA,2017,2,4,191.79000000000002
BA,2017,2,5,551.88
BA,2017,2,7,74.6
BA,2017,2,8,223.65999999999997
BA,2017,2,9,104.02
BA,2017,2,10,332.05
BA,2017,2,11,287.3
BA,2017,2,12,239.95
BA,2017,2,13,371.89
BA,2017,2,14,505.69
BA,2017,2,15,72.27
BA,2017,2,16,364.87
BA,2017,2,17,802.03
BA,2017,2,19,436.52
BA,2017,2,20,293.78999999999996
BA,2017,2,22,69.9
BA,2017,2,23,368.47
BA,2017,2,24,1045.92
BA,2017,2,25,36.77
BA,2017,2,26,120.14
BA,2017,2,27,361.98
BA,2017,2,28,95.34
BA,2017,3,1,167.82999999999998
BA,2017,3,2,566.13
BA,2017,3,3,1583.53
BA,2017,3,4,345.71000000000004
BA,2017,3,5,828.39
BA,2017,3,6,307.49
BA,2017,3,7,714.14
BA,2017,3,8,649.76
BA,2017,3,9,632.02
BA,2017,3,10,232.24
BA,2017,3,11,2422.01
BA,2017,3,12,114.88
BA,2017,3,13,128.15
BA,2017,3,14,698.88
BA,2017,3,15,1496.84
BA,2017,3,16,606.95
BA,2017,3,17,542.49
BA,2017,3,18,744.66
BA,2017,3,19,211.37
BA,2017,3,20,1061.37
BA,2017,3,21,321.54
BA,2017,3,22,376.99
BA,2017,3,23,196.18
BA,2017,3,24,150.29000000000002
BA,2017,3,25,569.9000000000001
BA,2017,3,26,464.78
BA,2017,3,27,91.6
BA,2017,3,28,47.95
BA,2017,3,29,383.16999999999996
BA,2017,3,30,958.3799999999999
BA,2017,3,31,698.63
BA,2017,4,1,513.38
BA,2017,4,2,283.52
BA,2017,4,3,2231.71
BA,2017,4,4,898.36
BA,2017,4,5,3009.53
BA,2017,4,6,371.25
BA,2017,4,7,477.12
BA,2017,4,8,634.4
BA,2017,4,9,1175.49
BA,2017,4,10,253.51
BA,2017,4,11,1017.9399999999999
BA,2017,4,13,594.41
BA,2017,4,14,278.08
BA,2017,4,15,110.58
BA,2017,4,16,673.82
BA,2017,4,17,522.27
BA,2017,4,18,906.88
BA,2017,4,19,119.66
BA,2017,4,20,501.10999999999996
BA,2017,4,21,244.67
BA,2017,4,22,138.17
BA,2017,4,23,328.26
BA,2017,4,24,476.95
BA,2017,4,26,1298.62
BA,2017,4,27,717.32
BA,2017,4,28,1652.99
BA,2017,4,29,679.37
BA,2017,4,30,284.96999999999997
BA,2017,5,1,291.0
BA,2017,5,2,622.96
BA,2017,5,3,692.88
BA,2017,5,4,345.11
BA,2017,5,5,1193.89
BA,2017,5,6,227.12
BA,2017,5,7,178.07999999999998
BA,2017,5,8,902.64
BA,2017,5,9,3027.13
BA,2017,5,10,79.56
BA,2017,5,11,412.95
BA,2017,5,12,262.71
BA,2017,5,13,843.61
BA,2017,5,14,418.76
BA,2017,5,15,556.29
BA,2017,5,16,1742.3200000000002
BA,2017,5,17,965.5799999999999
BA,2017,5,18,163.38
BA,2017,5,19,138.85
BA,2017,5,21,557.28
BA,2017,5,22,153.35
BA,2017,5,23,847.51
BA,2017,5,24,538.4799999999999
BA,2017,5,25,838.29
BA,2017,5,26,500.67
BA,2017,5,27,570.02
BA,2017,5,28,401.58000000000004
BA,2017,5,29,538.5699999999999
BA,2017,5,30,833.45
BA,2017,5,31,692.09
BA,2017,6,1,751.25
BA,2017,6,2,881.24
BA,2017,6,3,715.8
BA,2017,6,4,79.88
BA,2017,6,5,3298.32
BA,2017,6,6,367.95
BA,2017,6,7,1127.1799999999998
BA,2017,6,8,228.03
BA,2017,6,9,355.14
BA,2017,6,10,367.33000000000004
BA,2017,6,11,164.68
BA,2017,6,12,1311.4
BA,2017,6,13,290.82
BA,2017,6,14,2612.9
BA,2017,6,15,1226.25
BA,2017,6,16,443.38
BA,2017,6,17,167.62
BA,2017,6,18,548.4200000000001
BA,2017,6,19,2765.2799999999997
BA,2017,6,20,198.4
BA,2017,6,22,87.7
BA,2017,6,23,518.44
BA,2017,6,24,175.4
BA,2017,6,25,479.17
BA,2017,6,26,69.49000000000001
BA,2017,6,27,1586.02
BA,2017,6,28,1731.8799999999999
BA,2017,6,29,28.76
BA,2017,6,30,294.78999999999996
BA,2017,7,1,848.9799999999999
BA,2017,7,2,188.70999999999998
BA,2017,7,3,86.27000000000001
BA,2017,7,4,38.78
BA,2017,7,5,1319.99
BA,2017,7,6,829.63
BA,2017,7,7,723.33
BA,2017,7,8,340.93
BA,2017,7,9,294.24
BA,2017,7,10,355.07
BA,2017,7,11,848.26
BA,2017,7,12,846.96
BA,2017,7,13,681.74
BA,2017,7,14,940.27
BA,2017,7,15,687.28
BA,2017,7,16,1472.15
BA,2017,7,17,2044.3
BA,2017,7,18,2019.1599999999999
BA,2017,7,19,1122.8799999999999
BA,2017,7,20,977.09
BA,2017,7,21,727.21
BA,2017,7,22,645.37
BA,2017,7,23,826.95
BA,2017,7,24,409.17
BA,2017,7,25,623.5699999999999
BA,2017,7,26,166.47
BA,2017,7,27,838.7
BA,2017,7,28,242.64000000000001
BA,2017,7,29,510.41999999999996
BA,2017,7,30,463.34999999999997
BA,2017,8,1,1079.99
BA,2017,8,2,347.38
BA,2017,8,3,1286.96
BA,2017,8,4,1256.1
BA,2017,8,5,449.43
BA,2017,8,6,480.84999999999997
BA,2017,8,7,2175.86
BA,2017,8,9,298.67
BA,2017,8,10,503.84000000000003
BA,2017,8,11,769.09
BA,2017,8,12,736.49
BA,2017,8,13,119.07
BA,2017,8,14,1178.95
BA,2017,8,15,222.79000000000002
BA,2017,8,16,166.48
BA,2017,8,17,727.53
BA,2017,8,18,990.23
BA,2017,8,19,1552.58
BA,2017,8,20,1413.6799999999998
BA,2017,8,21,1344.89
BA,2017,8,22,707.06
BA,2017,8,24,504.72999999999996
BA,2017,8,25,739.65
BA,2017,8,26,452.6
BA,2017,8,27,1695.1399999999999
BA,2017,8,28,644.29
BA,2017,8,29,5288.51
BA,2017,8,30,1162.3600000000001
BA,2017,8,31,1063.21
BA,2017,9,1,1090.54
BA,2017,9,2,554.8
BA,2017,9,3,773.44
BA,2017,9,4,609.05
BA,2017,9,5,763.56
BA,2017,9,6,1815.16
BA,2017,9,7,1900.63
BA,2017,9,8,496.0
BA,2017,9,9,316.09999999999997
BA,2017,9,10,1229.94
BA,2017,9,11,846.51
BA,2017,9,12,1218.8899999999999
BA,2017,9,13,1947.3700000000001
BA,2017,9,14,3072.5699999999997
BA,2017,9,15,1250.78
BA,2017,9,16,828.87
BA,2017,9,17,337.33
BA,2017,9,18,655.32
BA,2017,9,19,994.6100000000001
BA,2017,9,20,456.11
BA,2017,9,21,1394.85
BA,2017,9,22,149.73000000000002
BA,2017,9,23,66.79
BA,2017,9,24,808.9399999999999
BA,2017,9,25,167.39
BA,2017,9,26,722.7
BA,2017,9,27,937.6899999999999
BA,2017,9,28,1975.33
BA,2017,9,29,137.18
BA,2017,9,30,463.73
BA,2017,10,1,1023.26
BA,2017,10,2,412.39
BA,2017,10,3,920.12
BA,2017,10,4,1370.09
BA,2017,10,5,2063.98
BA,2017,10,6,1911.3799999999999
BA,2017,10,7,275.59000000000003
BA,2017,10,8,595.3100000000001
BA,2017,10,9,3016.34
BA,2017,10,10,1628.52
BA,2017,10,11,891.8199999999999
BA,2017,10,12,478.6
BA,2017,10,13,549.46
BA,2017,10,14,270.37
BA,2017,10,15,777.8
BA,2017,10,16,2179.21
BA,2017,10,17,521.9200000000001
BA,2017,10,18,1560.24
BA,2017,10,19,1089.02
BA,2017,10,20,576.5799999999999
BA,2017,10,22,636.84
BA,2017,10,23,216.57999999999998
BA,2017,10,24,365.06
BA,2017,10,25,918.33
BA,2017,10,26,1292.07
BA,2017,10,27,158.41
BA,2017,10,28,101.93
BA,2017,10,29,1134.69
BA,2017,10,30,238.51
BA,2017,10,31,439.78000000000003
BA,2017,11,1,2358.7
BA,2017,11,2,683.8199999999999
BA,2017,11,3,1039.57
BA,2017,11,4,164.48000000000002
BA,2017,11,5,93.57
BA,2017,11,6,591.0
BA,2017,11,7,380.86
BA,2017,11,8,1182.63
BA,2017,11,9,683.93
BA,2017,11,10,700.51
BA,2017,11,11,304.53
BA,2017,11,12,352.51
BA,2017,11,13,906.26
BA,2017,11,14,1436.57
BA,2017,11,15,1006.94
BA,2017,11,16,1124.53
BA,2017,11,17,619.68
BA,2017,11,18,968.8499999999999
BA,2017,11,19,749.29
BA,2017,11,20,1923.1100000000001
BA,2017,11,21,1817.18
BA,2017,11,22,872.84
BA,2017,11,23,1327.78
BA,2017,11,24,3270.26
BA,2017,11,25,4414.21
BA,2017,11,26,994.6099999999999
BA,2017,11,27,1739.73
BA,2017,11,28,2256.18
BA,2017,11,29,788.2
BA,2017,11,30,697.22
BA,2017,12,1,1227.5
BA,2017,12,2,1279.63
BA,2017,12,3,391.63
BA,2017,12,4,1872.93
BA,2017,12,5,2991.5299999999997
BA,2017,12,6,657.94
BA,2017,12,7,2534.96
BA,2017,12,8,846.03
BA,2017,12,9,352.42
BA,2017,12,10,838.6800000000001
BA,2017,12,11,612.36
BA,2017,12,12,843.45
BA,2017,12,13,607.0899999999999
BA,2017,12,14,1321.32
BA,2017,12,15,3746.23
BA,2017,12,16,1574.49
BA,2017,12,17,725.31
BA,2017,12,18,1123.99
BA,2017,12,19,1105.05
BA,2017,12,20,890.6
BA,2017,12,21,605.95
BA,2017,12,22,485.8
BA,2017,12,23,906.16
BA,2017,12,24,378.69
BA,2017,12,25,664.7
BA,2017,12,26,770.38
BA,2017,12,27,750.81
BA,2017,12,28,1905.37
BA,2017,12,29,98.7
BA,2017,12,30,584.91
BA,2017,12,31,245.82
BA,2018,1,1,288.83
BA,2018,1,2,798.34
BA,2018,1,3,1159.21
BA,2018,1,4,1381.57
BA,2018,1,5,1659.93
BA,2018,1,6,754.34
BA,2018,1,7,1562.29
BA,2018,1,8,1244.31
BA,2018,1,9,2093.77
BA,2018,1,10,1293.28
BA,2018,1,11,3758.0899999999997
BA,2018,1,12,3931.48
BA,2018,1,13,1180.78
BA,2018,1,14,1507.68
BA,2018,1,15,1628.24
BA,2018,1,16,1737.5
BA,2018,1,17,3186.54
BA,2018,1,18,1050.09
BA,2018,1,19,1102.87
BA,2018,1,20,208.17
BA,2018,1,21,467.46999999999997
BA,2018,1,22,503.3
BA,2018,1,23,2163.13
BA,2018,1,24,2936.4300000000003
BA,2018,1,25,656.71
BA,2018,1,26,2446.94
BA,2018,1,27,991.8499999999999
BA,2018,1,28,44.78
BA,2018,1,29,436.72
BA,2018,1,30,568.06
BA,2018,1,31,787.3
BA,2018,2,1,2396.54
BA,2018,2,2,887.04
BA,2018,2,3,2868.83
BA,2018,2,4,759.8100000000001
BA,2018,2,5,565.4
BA,2018,2,6,682.52
BA,2018,2,7,644.34
BA,2018,2,8,731.0699999999999
BA,2018,2,9,928.65
BA,2018,2,10,1464.68
BA,2018,2,11,3554.14
BA,2018,2,12,1549.94
BA,2018,2,13,1613.21
BA,2018,2,14,490.06
BA,2018,2,15,1652.85
BA,2018,2,16,2567.2200000000003
BA,2018,2,17,715.6700000000001
BA,2018,2,18,266.96000000000004
BA,2018,2,19,733.31
BA,2018,2,20,1191.3600000000001
BA,2018,2,21,747.78
BA,2018,2,22,1063.2
BA,2018,2,23,1251.8
BA,2018,2,24,1316.58
BA,2018,2,25,2367.4
BA,2018,2,26,546.6800000000001
BA,2018,2,27,1903.13
BA,2018,2,28,2145.47
BA,2018,3,1,1367.77
BA,2018,3,2,3831.9900000000002
BA,2018,3,3,598.53
BA,2018,3,4,676.8199999999999
BA,2018,3,5,1085.46
BA,2018,3,6,1102.07
BA,2018,3,7,2069.69
BA,2018,3,8,2734.84
BA,2018,3,9,1133.67
BA,2018,3,10,960.15
BA,2018,3,11,1713.9
BA,2018,3,12,2043.13
BA,2018,3,13,1479.08
BA,2018,3,14,1046.15
BA,2018,3,15,3162.89
